cluster,cc_stage,purity,median_pseudotime,n_ref_cells
0,s,0.8604815864022662,-0.049073182,1412
1,s,1.0,-0.16266744,1295
10,s,0.8343815513626834,0.1926804,477
11,g2/m,0.8963210702341137,2.838048,299
12,g2/m,1.0,2.1890972,263
13,g0/g1,0.652542372881356,-2.1105723,236
14,g2/m,0.9886363636363636,2.6886485,176
15,g2/m,1.0,2.9838562,174
16,g0/g1,0.7398373983739838,-1.8807389,123
17,g2/m,1.0,3.7542114,68
18,g2/m,1.0,3.922441,62
19,g2/m,1.0,4.066745,59
2,s,0.8178070898598516,-0.5676907,1213
3,g0/g1,0.7376068376068377,-2.948932,1170
4,g0/g1,0.9914367269267365,-2.8055503,1051
5,g2/m,1.0,2.9136531,811
6,g0/g1,0.739247311827957,-2.0749497,744
7,s,0.8124006359300477,0.023184307,629
8,g2/m,0.9932088285229203,2.0009348,589
9,g0/g1,0.9551724137931035,-2.6976652,580
