cluster,gene,score,logfc,pval_adj
0,FBgn0004583,90.87659,,0.0
0,FBti0059763,87.1213,,0.0
0,FBgn0016797,85.20861,,0.0
0,FBti0060275,83.07566,,0.0
0,FBgn0286786,77.15754,,0.0
0,FBgn0035049,71.18197,,0.0
0,FBgn0263706,69.12392,,0.0
0,FBgn0019660,66.32269,,0.0
0,FBgn0265413,65.46344,,0.0
0,FBgn0010313,60.986225,,0.0
0,FBgn0036844,60.777485,,0.0
0,FBgn0005660,60.520164,,0.0
0,FBgn0037515,59.76386,,0.0
0,FBgn0259110,59.531918,,0.0
0,FBgn0265487,58.70458,,0.0
0,FBgn0031381,55.785046,,0.0
0,FBgn0004167,54.92245,,0.0
0,FBgn0286827,52.532616,,0.0
0,FBgn0001090,50.16455,,0.0
0,FBgn0031453,46.912064,,0.0
1,FBgn0013675,174.75252,,0.0
1,FBgn0013674,174.11267,,0.0
1,FBgn0013676,172.91745,,0.0
1,FBgn0013672,170.27315,,0.0
1,FBgn0013678,164.98213,,0.0
1,FBgn0267910,164.1893,,0.0
1,FBgn0013686,162.13272,,0.0
1,FBgn0022893,158.65898,,0.0
1,FBgn0004362,149.95547,,0.0
1,FBgn0013684,143.14204,,0.0
1,FBgn0265297,142.40454,,0.0
1,FBgn0001233,133.60486,,0.0
1,FBgn0013679,132.86823,,0.0
1,FBgn0262952,130.04268,,0.0
1,FBgn0013681,129.90948,,0.0
1,FBgn0031453,128.7747,,0.0
1,FBti0059744,123.53796,,0.0
1,FBgn0261836,121.422516,,0.0
1,FBgn0261800,98.39697,,0.0
1,FBgn0014388,95.88211,,0.0
2,FBgn0031971,78.07025,,0.0
2,FBgn0000064,65.81224,,0.0
2,FBgn0019661,57.34158,,0.0
2,FBti0059763,55.145786,,0.0
2,FBgn0014135,54.91304,,0.0
2,FBgn0019660,54.655506,,0.0
2,FBgn0001224,53.163586,,0.0
2,FBgn0001257,51.66449,,0.0
2,FBgn0001225,51.386112,,0.0
2,FBti0062048,47.77328,,0.0
2,FBgn0259110,44.59739,,0.0
2,FBgn0263773,43.347713,,0.0
2,FBgn0039774,43.066597,,0.0
2,FBgn0263392,42.73991,,0.0
2,FBgn0261800,42.17076,,0.0
2,FBgn0039419,41.360867,,0.0
2,FBgn0025885,40.574486,,0.0
2,FBti0020227,39.435066,,0.0
2,FBgn0002526,38.958782,,0.0
2,FBti0060275,37.56408,,6.181575822115737e-307
3,FBgn0262945,83.308556,,0.0
3,FBgn0015222,81.38393,,0.0
3,FBgn0053494,81.239456,,0.0
3,FBgn0052280,81.008934,,0.0
3,FBgn0001258,80.68219,,0.0
3,FBgn0053926,80.03805,,0.0
3,FBgn0015221,77.82971,,0.0
3,FBgn0030160,71.96132,,0.0
3,FBgn0001225,71.215866,,0.0
3,FBgn0004431,70.42914,,0.0
3,FBgn0029507,67.24801,,0.0
3,FBgn0001224,66.58319,,0.0
3,FBgn0041087,65.08465,,0.0
